PR#,New [TEST-IGNORE] Check,Old Automated Check,Agree
36301,failure,failure,YES
36303,N/A,failure,N/A
36306,N/A,N/A,N/A
36307,N/A,failure,N/A
36309,N/A,success,N/A
36311,N/A,success,N/A
36312,N/A,success,N/A
36313,N/A,failure,N/A
36314,N/A,failure,N/A
36316,N/A,success,N/A
36317,N/A,success,N/A
36318,N/A,failure,N/A
36320,N/A,success,N/A
36321,N/A,success,N/A
36322,N/A,failure,N/A
36324,N/A,success,N/A
36325,N/A,failure,N/A
36326,N/A,failure,N/A
36328,N/A,failure,N/A
36329,N/A,failure,N/A
36331,N/A,failure,N/A
36333,N/A,failure,N/A
36334,N/A,failure,N/A
36335,failure,failure,YES
36336,N/A,success,N/A
36337,N/A,success,N/A
36338,N/A,success,N/A
36339,N/A,failure,N/A
36340,N/A,failure,N/A
36341,N/A,N/A,N/A
36342,N/A,failure,N/A
36343,N/A,failure,N/A
36344,N/A,failure,N/A
36347,N/A,N/A,N/A
36348,failure,failure,YES
36349,N/A,failure,N/A
36350,N/A,success,N/A
36351,success,success,YES
36352,failure,failure,YES
36353,failure,N/A,N/A
36354,failure,N/A,N/A
36355,pending,success,NO
36356,failure,failure,YES
36357,failure,failure,YES
36358,failure,failure,YES
36359,failure,N/A,N/A
36360,failure,failure,YES
36361,failure,failure,YES
36362,failure,failure,YES
36363,failure,success,NO
36364,failure,success,NO
36365,success,success,YES
36366,failure,failure,YES
36367,failure,N/A,N/A
36368,failure,N/A,N/A
36369,pending,N/A,N/A
36370,pending,success,NO
36372,failure,failure,YES
36373,failure,N/A,N/A
36374,failure,N/A,N/A
36375,failure,N/A,N/A
