PR Number,PR Title,PR URL,Labels
23796,[ManagedOps] Add azure monitor service to API spec,https://github.com/Azure/azure-rest-api-specs-pr/pull/23796,resource-manager+RPaaS+TypeSpec
23792,Bring over RPSaaSDev to RPSaaSMaster for accesspoint specifications.,https://github.com/Azure/azure-rest-api-specs-pr/pull/23792,ARMReview+resource-manager+RPaaS+SuppressionReviewRequired+TypeSpec+VersioningReviewRequired+NotReadyForARMReview+PipelineBotTrigger
23789,Azure migrate Cosmosdb integration,https://github.com/Azure/azure-rest-api-specs-pr/pull/23789,TypeSpec+PipelineBotTrigger
23782,Merge branch main into RPSaaSMaster,https://github.com/Azure/azure-rest-api-specs-pr/pull/23782,
23779,Jsimonson benefitsrp onboard credits rt,https://github.com/Azure/azure-rest-api-specs-pr/pull/23779,BreakingChangeReviewRequired+resource-manager+RPaaS+PipelineBotTrigger+brownfield
23776,[decommissioned] Solarwinds.Observability deprecation,https://github.com/Azure/azure-rest-api-specs-pr/pull/23776,ARMReview+resource-manager+TypeSpec+Liftr+IDCDevDiv+VersioningReviewRequired+NotReadyForARMReview+Versioning-Approved-Retired
23766,Merge branch main into RPSaaSMaster,https://github.com/Azure/azure-rest-api-specs-pr/pull/23766,
23764,[TEST] remove openapi-subtype,https://github.com/Azure/azure-rest-api-specs-pr/pull/23764,resource-manager+RPaaS+TypeSpec+VersioningReviewRequired
23762,Basebd cpucorecount to optional,https://github.com/Azure/azure-rest-api-specs-pr/pull/23762,BreakingChangeReviewRequired+ARMReview+resource-manager+RPaaS+TypeSpec+NotReadyForARMReview+PipelineBotTrigger
23758,Merge branch main into RPSaaSMaster,https://github.com/Azure/azure-rest-api-specs-pr/pull/23758,
