PR Number,PR Title,PR URL,Labels
36268,Ensure we don't crash on `NaN` in `summarize-checks.js`,https://github.com/Azure/azure-rest-api-specs/pull/36268,
36267,Fix Centralized Labelling - Page GraphQL,https://github.com/Azure/azure-rest-api-specs/pull/36267,
36265,Fix ledger swagger issue,https://github.com/Azure/azure-rest-api-specs/pull/36265,data-plane+VersioningReviewRequired+brownfield
36264,[dependabot.yml] ignore cross-env,https://github.com/Azure/azure-rest-api-specs/pull/36264,
36263,[cdn] migrate to typespec from swagger,https://github.com/Azure/azure-rest-api-specs/pull/36263,Network - CDN+resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-JavaScript-Sdk
36262,[dependabot] Revert to listing all dirs and increase-if-necessary,https://github.com/Azure/azure-rest-api-specs/pull/36262,
36261,Update 2025 06 01 7 25,https://github.com/Azure/azure-rest-api-specs/pull/36261,
36260,[oav-runner] Handle error if dir containing example is deleted,https://github.com/Azure/azure-rest-api-specs/pull/36260,
36259,Sync eng/common directory with azure-sdk-tools for PR 11373,https://github.com/Azure/azure-rest-api-specs/pull/36259,EngSys+Central-EngSys
36258,Monitor Metrics Query Java Updates,https://github.com/Azure/azure-rest-api-specs/pull/36258,Monitor+TypeSpec
36256,Users/julyckla/microsoft healthcare apis preview 2025 10 01,https://github.com/Azure/azure-rest-api-specs/pull/36256,resource-manager+brownfield
36255,Repro TCGC vs OAV discrepancy,https://github.com/Azure/azure-rest-api-specs/pull/36255,data-plane+RPaaS+TypeSpec
36253,Add Read Receipts and Typing Indicators for ACS Advanced Messaging,https://github.com/Azure/azure-rest-api-specs/pull/36253,DataPlane+data-plane+TypeSpec
36250,Adding users and groups,https://github.com/Azure/azure-rest-api-specs/pull/36250,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+TypeSpec+PipelineBotTrigger
36246,Multiple `summarize` logic updates / fixes,https://github.com/Azure/azure-rest-api-specs/pull/36246,
36245,Sync eng/common directory with azure-sdk-tools for PR 11365,https://github.com/Azure/azure-rest-api-specs/pull/36245,EngSys+Central-EngSys
36244,[NetApp] Release microsoft.net app 2025-06-01,https://github.com/Azure/azure-rest-api-specs/pull/36244,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+BreakingChange-JavaScript-Sdk+brownfield
36243,Repro bug,https://github.com/Azure/azure-rest-api-specs/pull/36243,TypeSpec
36242,Cp malt mpt integration stable,https://github.com/Azure/azure-rest-api-specs/pull/36242,Load Test Service+resource-manager+RPaaS+TypeSpec+VersioningReviewRequired
36241,"java, mgmt, Release Planner Test Product , client",https://github.com/Azure/azure-rest-api-specs/pull/36241,TypeSpec
36240,[TSP migration] Migrate relay to TypeSpec,https://github.com/Azure/azure-rest-api-specs/pull/36240,Relay+resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk
36239,"java mgmt, add directive to fix search",https://github.com/Azure/azure-rest-api-specs/pull/36239,Search+WaitForARMFeedback+ARMReview+resource-manager
36235,Update client.tsp,https://github.com/Azure/azure-rest-api-specs/pull/36235,TypeSpec
36234,User/allanpahn/microsoft.file shares preview2025 06 01,https://github.com/Azure/azure-rest-api-specs/pull/36234,
36233,"mgmt, java, config nginx SDK",https://github.com/Azure/azure-rest-api-specs/pull/36233,TypeSpec
36230,[monitor] update python preview tag,https://github.com/Azure/azure-rest-api-specs/pull/36230,Monitor+WaitForARMFeedback+ARMReview+resource-manager+RPaaS
36227,Bump the eslint group across 2 directories with 2 updates,https://github.com/Azure/azure-rest-api-specs/pull/36227,customer-reported+dependencies+javascript
36226,Bump zod from 4.0.8 to 4.0.10 in /.github,https://github.com/Azure/azure-rest-api-specs/pull/36226,customer-reported+dependencies+javascript
36225,Revert changes to snapshot proxy resource,https://github.com/Azure/azure-rest-api-specs/pull/36225,WaitForARMFeedback+ARMReview+resource-manager+RPaaS+SuppressionReviewRequired+TypeSpec+PipelineBotTrigger
36224,[LintDiff] Use changed files,https://github.com/Azure/azure-rest-api-specs/pull/36224,resource-manager+RPaaS+TypeSpec
36223,Fix MCP in streaming scenarios,https://github.com/Azure/azure-rest-api-specs/pull/36223,data-plane+TypeSpec+PipelineBotTrigger
36222,Update 2025 06 01 7 25,https://github.com/Azure/azure-rest-api-specs/pull/36222,WaitForARMFeedback+ARMReview+resource-manager+RPaaS+TypeSpec
36221,new addProxyAgentExtension property for proxyagentsettings,https://github.com/Azure/azure-rest-api-specs/pull/36221,Compute+resource-manager+TypeSpec+BreakingChange-JavaScript-Sdk
36220,Contribute to 2025-06-01 Api version,https://github.com/Azure/azure-rest-api-specs/pull/36220,
36219,Review request for Microsoft.DBforPostgreSQL to add version stable/2025-08-01,https://github.com/Azure/azure-rest-api-specs/pull/36219,PostgreSQL+ARMReview+resource-manager+BreakingChangeReviewRequired+new-api-version+BreakingChange-Approved-Previously+NotReadyForARMReview+brownfield
36218,Generate Python and JavaScript SDKs from TypeSpec project for Microsoft.Contoso management service,https://github.com/Azure/azure-rest-api-specs/pull/36218,Compute+Network+Storage+KeyVault+Service Fabric+Data Lake Analytics+Batch+Analysis Services+Network - CDN+Container Registry+Customer Insights+Devtestlab+Cognitive Services+Authorization+Event Hubs+Logic App+Machine Learning+Media Services+Notification Hub+Monitor - Operational Insights+Recovery Services Backup+Redis Cache+Scheduler+Search+Insights+Relay+Service Bus+Intune+HDInsight+Automation+API Management+SQL+Monitor+Operations Management+Data Factory+BatchAI+Billing+Container Instances+Cosmos+Data Migration+Event Grid+Import Export+Mobile Engagement+MySQL+Policy Insights+PostgreSQL+Recovery Services Site-Recovery+Service Map+Storsimple+Stream Analytics+TimeseriesInsights+Data Lake Store+Machine Learning Compute+Profile+Network - DNS+Network - Traffic Manager+Subscription+Web Apps+StorageSync+Alerts Management+Peering+Container Service+IoTHub+Synapses+Purview+RecoveryServices+Load Test Service+Device Update+Maps+Cognitive - Language+ArcReview+Monitor - Exporter+Container Service Fleet
36216,[LintDiff] More detailed error copy for spec model failures,https://github.com/Azure/azure-rest-api-specs/pull/36216,PipelineBotTrigger
36215,Sync eng/common directory with azure-sdk-tools for PR 11353,https://github.com/Azure/azure-rest-api-specs/pull/36215,EngSys+Central-EngSys
